Carrier Code,Date (YYYY-MM-DD),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
DL,2013-11-05,1763,N353NW,MSP,15:00:00,14:59:00,-1,0,0,0,0,0
DL,2013-11-05,1839,N917DL,ATL,19:00:00,18:52:00,-8,0,0,0,0,0
DL,2013-11-05,1939,N3730B,ATL,20:00:00,19:54:00,-6,0,0,0,0,0
DL,2013-11-05,1945,N349NB,DTW,14:50:00,14:49:00,-1,0,0,0,0,0
DL,2013-11-05,1963,N911DE,MSP,11:45:00,11:39:00,-6,0,0,0,0,0
DL,2013-11-05,2039,N904DA,ATL,15:00:00,14:58:00,-2,0,0,0,0,0
DL,2013-11-05,2045,N3766,DTW,17:12:00,17:07:00,-5,0,0,0,0,0
DL,2013-11-05,2063,N378DA,MSP,08:30:00,08:26:00,-4,0,0,0,0,0
DL,2013-11-05,2145,N359NW,DTW,19:00:00,19:21:00,21,0,0,0,0,0
DL,2013-11-05,2163,N327NW,MSP,06:15:00,06:06:00,-9,0,0,0,0,0
DL,2013-11-05,2239,N922DX,ATL,16:59:00,16:56:00,-3,0,0,0,0,0
DL,2013-11-05,2339,N913DE,ATL,12:59:00,12:56:00,-3,0,0,0,0,0
DL,2013-11-05,2359,N6706Q,SLC,07:30:00,07:29:00,-1,0,0,16,0,0
DL,2014-11-05,0151,N945DL,ATL,14:00:00,13:57:00,-3,0,0,0,0,0
DL,2014-11-05,0691,N686DA,SLC,07:24:00,07:20:00,-4,0,0,0,0,0
DL,2014-11-05,0832,N6711M,SLC,16:35:00,16:34:00,-1,0,0,0,0,0
DL,2014-11-05,0839,N923DN,ATL,06:00:00,05:52:00,-8,0,0,0,0,0
DL,2014-11-05,0872,N3771K,ATL,06:59:00,06:57:00,-2,0,0,0,0,0
DL,2014-11-05,1139,N617DL,ATL,08:00:00,07:54:00,-6,0,0,0,0,0
DL,2014-11-05,1239,N920DN,ATL,09:00:00,08:58:00,-2,0,0,0,0,0
DL,2014-11-05,1275,N953DN,DTW,07:30:00,07:30:00,0,0,0,0,0,0
DL,2014-11-05,1401,N962DN,ATL,18:00:00,17:53:00,-7,0,0,0,0,0
DL,2014-11-05,1439,N389DA,ATL,11:00:00,11:02:00,2,0,0,0,0,0
DL,2014-11-05,1442,N935DL,DTW,12:55:00,12:54:00,-1,0,0,0,0,0
DL,2014-11-05,1539,N928DN,ATL,12:00:00,11:58:00,-2,0,0,0,0,0
DL,2014-11-05,1639,N913DL,ATL,12:59:00,12:53:00,-6,0,0,0,0,0
DL,2014-11-05,1663,N958DN,MSP,18:49:00,18:39:00,-10,0,0,0,0,0
DL,2014-11-05,1763,N329NB,MSP,15:05:00,15:18:00,13,5,0,23,0,0
DL,2014-11-05,1839,N682DA,ATL,15:00:00,14:57:00,-3,0,0,0,0,0
DL,2014-11-05,1932,N910DN,MSP,16:40:00,16:38:00,-2,0,0,0,0,0
DL,2014-11-05,1939,N904DA,ATL,16:00:00,15:57:00,-3,0,0,0,0,0
DL,2014-11-05,1963,N947DN,MSP,11:30:00,11:23:00,-7,0,0,0,0,0
DL,2014-11-05,2039,N907DA,ATL,17:00:00,17:01:00,1,0,0,0,0,0
DL,2014-11-05,2045,N935DL,DTW,17:27:00,17:30:00,3,0,0,0,0,0
DL,2014-11-05,2063,N329NB,MSP,08:30:00,08:26:00,-4,0,0,0,0,0
DL,2014-11-05,2145,N327NB,DTW,19:25:00,19:13:00,-12,0,0,0,0,0
DL,2014-11-05,2163,N319US,MSP,06:30:00,06:25:00,-5,0,0,0,0,0
DL,2014-11-05,2239,N937DN,ATL,19:00:00,20:06:00,66,0,0,0,0,48
DL,2014-11-05,2339,N965DN,ATL,20:00:00,19:56:00,-4,0,0,0,0,0
DL,2014-11-05,2543,N922DL,DTW,09:47:00,09:41:00,-6,0,0,0,0,0
DL,2014-11-05,2633,N314US,DTW,06:00:00,05:55:00,-5,0,0,0,0,0
DL,2015-11-05,0151,N959DN,ATL,15:00:00,15:04:00,4,0,0,0,0,0
DL,2015-11-05,0300,N932DL,DTW,09:42:00,09:37:00,-5,0,0,0,0,0
DL,2015-11-05,0313,N948DN,MSP,19:11:00,19:12:00,1,0,0,0,0,0
DL,2015-11-05,0327,N902DE,ATL,12:59:00,12:54:00,-5,0,0,0,0,0
DL,2015-11-05,0832,N698DL,SLC,16:32:00,16:23:00,-9,0,0,0,0,0
DL,2015-11-05,0839,N943DN,ATL,06:00:00,05:55:00,-5,0,0,19,0,0
DL,2015-11-05,0872,N915DN,ATL,06:59:00,06:53:00,-6,0,0,0,0,0
DL,2015-11-05,0964,N903DA,DTW,07:35:00,07:52:00,17,0,0,0,0,0
DL,2015-11-05,0988,N326US,DTW,12:23:00,13:34:00,71,15,0,0,0,32
DL,2015-11-05,1057,N359NW,DTW,06:10:00,06:10:00,0,0,0,0,0,0
DL,2015-11-05,1139,N927DN,ATL,07:59:00,07:54:00,-5,0,0,0,0,0
DL,2015-11-05,1213,N949DL,ATL,09:59:00,10:05:00,6,0,0,0,0,0
DL,2015-11-05,1239,N953DN,ATL,08:59:00,08:56:00,-3,0,0,0,0,0
DL,2015-11-05,1275,N934DN,MSP,16:45:00,16:54:00,9,0,0,0,0,0
DL,2015-11-05,1351,N919DN,ATL,20:00:00,20:14:00,14,1,0,12,0,13
DL,2015-11-05,1363,N919DE,ATL,11:59:00,11:55:00,-4,0,0,0,0,0
DL,2015-11-05,1409,N979DL,ATL,19:00:00,19:16:00,16,0,0,0,0,0
DL,2015-11-05,1539,N922DX,ATL,17:00:00,16:58:00,-2,0,0,0,0,0
DL,2015-11-05,1631,N936DL,MSP,11:24:00,11:21:00,-3,0,0,0,0,0
DL,2015-11-05,1684,N924DL,MSP,14:40:00,14:42:00,2,0,0,0,0,0
DL,2015-11-05,1839,N980DL,ATL,14:00:00,13:53:00,-7,0,0,0,0,0
DL,2015-11-05,2045,N326NB,DTW,17:23:00,17:15:00,-8,0,0,0,0,0
DL,2015-11-05,2063,N344NW,MSP,08:30:00,08:27:00,-3,0,0,0,0,0
DL,2015-11-05,2163,N327NW,MSP,06:30:00,06:35:00,5,0,0,0,0,0
DL,2015-11-05,2359,N3745B,SLC,07:25:00,07:19:00,-6,0,0,0,0,0
DL,2015-11-05,2379,N950DL,ATL,18:00:00,18:30:00,30,0,0,18,0,0
DL,2015-11-05,2648,N924DN,ATL,11:00:00,10:54:00,-6,0,0,0,0,0
DL,2015-11-05,2651,N917DN,ATL,16:00:00,15:59:00,-1,0,0,0,0,0
DL,2015-11-05,2827,N953DL,DTW,19:30:00,19:33:00,3,0,0,0,0,0
DL,2016-11-05,0151,N689DL,ATL,14:55:00,14:50:00,-5,0,0,0,0,0
DL,2016-11-05,0568,N338NB,DTW,09:40:00,09:33:00,-7,0,0,0,0,0
DL,2016-11-05,0841,N960AT,DTW,12:48:00,12:44:00,-4,0,0,0,0,0
DL,2016-11-05,0872,N313US,ATL,07:00:00,06:56:00,-4,0,0,0,0,0
DL,2016-11-05,1275,N360NW,MSP,17:05:00,17:01:00,-4,0,0,0,0,0
DL,2016-11-05,1335,N355NB,DTW,17:40:00,17:37:00,-3,0,0,0,0,0
DL,2016-11-05,1359,N959DN,MSP,11:45:00,11:38:00,-7,0,0,0,0,0
DL,2016-11-05,1381,N951AT,JFK,17:20:00,17:14:00,-6,0,0,0,0,0
DL,2016-11-05,1488,N311DN,ATL,18:00:00,17:55:00,-5,0,0,0,0,0
DL,2016-11-05,1754,N905DA,ATL,12:20:00,12:18:00,-2,0,0,0,0,0
DL,2016-11-05,1858,N990DL,MSP,15:00:00,14:57:00,-3,0,0,0,0,0
DL,2016-11-05,1900,N305DN,ATL,11:10:00,11:06:00,-4,0,0,0,0,0
DL,2016-11-05,1907,N307DX,ATL,08:15:00,08:15:00,0,0,0,0,0,0
DL,2016-11-05,1963,N904DA,ATL,06:00:00,05:56:00,-4,0,0,0,0,0
DL,2016-11-05,2067,N946DN,MSP,06:45:00,06:43:00,-2,0,0,0,0,0
DL,2016-11-05,2420,N3737C,SLC,07:30:00,07:24:00,-6,0,0,0,0,0
DL,2016-11-05,2543,N946AT,JFK,06:06:00,06:02:00,-4,0,0,0,0,0
DL,2017-11-05,0098,N333NB,DTW,15:00:00,14:50:00,-10,0,0,0,0,0
DL,2017-11-05,0132,N368NB,DTW,12:40:00,12:29:00,-11,0,0,0,0,0
DL,2017-11-05,0136,N340NW,DTW,17:43:00,17:45:00,2,0,0,0,0,0
DL,2017-11-05,0151,N301DV,ATL,15:04:00,15:04:00,0,0,0,0,0,0
DL,2017-11-05,0820,N303DN,ATL,12:28:00,12:29:00,1,0,0,0,0,0
DL,2017-11-05,0844,N321DH,ATL,13:30:00,13:39:00,9,0,0,15,0,0
DL,2017-11-05,1139,N354NW,ATL,08:15:00,08:23:00,8,0,0,0,0,0
DL,2017-11-05,1541,N352NB,MSP,19:09:00,19:37:00,28,0,0,0,0,0
