Date (YYYY-MM-DD),Carrier Code,Flight Number,Tail Number,Destination Airport,Departure delay (Minutes)
2020-01-01,DL,474,N364DX,ATL,-6
2020-01-01,DL,832,N694DL,SLC,-3
2020-01-01,DL,1139,N362DN,ATL,-4
2020-01-01,DL,1144,N337NB,DTW,-7
2020-01-01,DL,1368,N603AT,MSP,-6
2020-01-01,DL,1421,N325NB,DTW,-7
2020-01-01,DL,1515,N352NB,MSP,-7
2020-01-01,DL,1589,N336NW,MSP,30
2020-01-01,DL,1631,N624AG,LAX,-8
2020-01-01,DL,1654,N331DN,ATL,4
2020-01-01,DL,1960,N339NW,DTW,-10
2020-01-01,DL,2086,N339NB,JFK,-7
2020-01-01,DL,2594,N343DN,ATL,0
2020-01-01,DL,2595,N356NW,ATL,-2
2020-01-01,DL,2602,N327DN,ATL,-7
2020-01-01,DL,2638,N312US,ATL,-4
2020-01-01,DL,2799,N369DN,ATL,0
2020-01-01,DL,2945,N330NB,DTW,-6
2021-01-01,DL,317,N710TW,LAX,-5
2021-01-01,DL,416,N365DN,ATL,-7
2021-01-01,DL,432,N364NW,ATL,184
2021-01-01,DL,440,N309US,ATL,149
2021-01-01,DL,457,N356NW,ATL,-6
2021-01-01,DL,464,N338DN,ATL,162
2021-01-01,DL,1108,N345NB,MSP,-7
2021-01-01,DL,1559,N717JL,DTW,-10
2021-01-01,DL,2006,N335NB,DTW,-8
2021-01-01,DL,2022,N339NB,MSP,-7
2021-01-01,DL,2226,N377NW,ATL,-7
2021-01-01,DL,2276,N971AT,DTW,25
2022-01-01,DL,307,N391DN,ATL,39
2022-01-01,DL,342,N718TW,LAX,0
2022-01-01,DL,418,N317DN,ATL,2
2022-01-01,DL,457,N374NW,ATL,0
2022-01-01,DL,464,N348DN,ATL,-1
2022-01-01,DL,528,N332NW,ATL,0
2022-01-01,DL,539,N389DN,ATL,24
2022-01-01,DL,760,N694DL,SLC,2
2022-01-01,DL,1465,N317NB,MSP,6
2022-01-01,DL,1570,N338NB,DTW,-3
2022-01-01,DL,1740,N336NW,MSP,-1
2022-01-01,DL,2244,N323NB,MSP,77
2022-01-01,DL,2885,N319US,DTW,0
2022-01-01,DL,2995,N114DU,DTW,3
2023-01-01,DL,306,N366NW,ATL,-3
2023-01-01,DL,342,N723TW,LAX,-1
2023-01-01,DL,395,N352NW,ATL,-7
2023-01-01,DL,457,N361NW,ATL,80
2023-01-01,DL,464,N339NW,ATL,38
2023-01-01,DL,472,N503DZ,SLC,93
2023-01-01,DL,528,N372NW,ATL,12
2023-01-01,DL,1343,N302NB,MSP,-6
2023-01-01,DL,1522,N371NW,ATL,11
2023-01-01,DL,2093,N330NB,MSP,-6
2023-01-01,DL,2270,N365NB,DTW,-4
2023-01-01,DL,2675,N370NW,MSP,0
2023-01-01,DL,2806,N314NB,DTW,-6
2023-01-01,DL,2885,N365NW,DTW,-5
2024-01-01,DL,380,N375NC,ATL,0
2024-01-01,DL,392,N722TW,LAX,-3
2024-01-01,DL,410,N375NC,ATL,-3
2024-01-01,DL,455,N341NW,ATL,-6
2024-01-01,DL,467,N365NB,MSP,-4
2024-01-01,DL,553,N506DA,SLC,8
2024-01-01,DL,759,N337NW,ATL,-2
2024-01-01,DL,959,N312US,ATL,-2
2024-01-01,DL,1165,N365NB,MSP,-5
2024-01-01,DL,1435,N327NB,DTW,-7
2024-01-01,DL,1608,N326US,ATL,-11
2024-01-01,DL,2280,N357NB,MSP,-6
2024-01-01,DL,2309,N324US,MIA,-6
2024-01-01,DL,2475,N322NB,DTW,-12
2024-01-01,DL,2476,N329NB,DTW,-10
2024-01-01,DL,2953,N372NW,MCO,-7
2020-01-02,DL,474,N357DN,ATL,-6
2020-01-02,DL,832,N6712B,SLC,-7
2020-01-02,DL,839,N312US,ATL,-5
2020-01-02,DL,1139,N343DN,ATL,-4
2020-01-02,DL,1144,N982AT,DTW,-2
2020-01-02,DL,1368,N348NW,MSP,-1
2020-01-02,DL,1421,N945AT,DTW,-7
2020-01-02,DL,1515,N326NB,MSP,-3
2020-01-02,DL,1589,N352NW,MSP,-8
2020-01-02,DL,1631,N711ZX,LAX,-5
2020-01-02,DL,1654,N359DN,ATL,-6
2020-01-02,DL,1764,N993AT,MSP,-5
2020-01-02,DL,1960,N327NW,DTW,-2
2020-01-02,DL,2086,N343NB,JFK,-10
2020-01-02,DL,2238,N363NW,ATL,-11
2020-01-02,DL,2594,N375DN,ATL,2
2020-01-02,DL,2602,N328DN,ATL,-4
2020-01-02,DL,2638,N372NW,ATL,28
2020-01-02,DL,2799,N351DN,ATL,-8
2020-01-02,DL,2811,N351DN,ATL,-16
2020-01-02,DL,2945,N955AT,DTW,-6
2021-01-02,DL,317,N6710E,LAX,-6
2021-01-02,DL,416,N368DN,ATL,-4
2021-01-02,DL,432,N309US,ATL,-6
2021-01-02,DL,440,N340NW,ATL,-7
2021-01-02,DL,457,N377NW,ATL,-3
2021-01-02,DL,464,N374NW,ATL,-6
2021-01-02,DL,777,N3752,SLC,-5
2021-01-02,DL,1043,N369NW,MSP,-3
2021-01-02,DL,1108,N333NB,MSP,-3
2021-01-02,DL,1559,N989AT,DTW,-2
2021-01-02,DL,2006,N316NB,DTW,-5
2021-01-02,DL,2022,N315NB,MSP,-11
2021-01-02,DL,2226,N309US,ATL,-6
2021-01-02,DL,2276,N989AT,DTW,-1
2022-01-02,DL,306,N118DY,ATL,14
2022-01-02,DL,307,N359NW,ATL,37
2022-01-02,DL,342,N723TW,LAX,12
2022-01-02,DL,361,N309DN,ATL,45
2022-01-02,DL,395,N323DN,ATL,0
2022-01-02,DL,418,N359NW,ATL,13
2022-01-02,DL,457,N356NW,ATL,10
2022-01-02,DL,464,N103DY,ATL,29
2022-01-02,DL,528,N370NW,ATL,13
2022-01-02,DL,538,N320US,ATL,35
2022-01-02,DL,539,N390DN,ATL,2
2022-01-02,DL,760,N694DL,SLC,46
2022-01-02,DL,1343,N338NW,MSP,-3
2022-01-02,DL,1465,N358NB,MSP,17
2022-01-02,DL,1530,N392DN,DTW,0
2022-01-02,DL,1570,N330NB,DTW,-2
2022-01-02,DL,1637,N103DU,DTW,7
2022-01-02,DL,1740,N350NA,MSP,24
2022-01-02,DL,2244,N378NW,MSP,29
2022-01-02,DL,2885,N339NW,DTW,11
2022-01-02,DL,2995,N353NB,DTW,-3
2023-01-02,DL,306,N366NW,ATL,8
2023-01-02,DL,342,N723TW,LAX,-2
2023-01-02,DL,395,N342NW,ATL,3
2023-01-02,DL,418,N350NA,ATL,11
2023-01-02,DL,457,N364NW,ATL,-4
2023-01-02,DL,464,N393DN,ATL,0
2023-01-02,DL,472,N503DZ,SLC,6
2023-01-02,DL,528,N367NW,ATL,-2
2023-01-02,DL,560,N350NA,ATL,38
2023-01-02,DL,910,N336NW,ATL,61
2023-01-02,DL,1522,N358NW,ATL,-2
2023-01-02,DL,1740,N348NW,MSP,-3
2023-01-02,DL,2093,N360NB,MSP,-5
2023-01-02,DL,2206,N366NW,ATL,-7
2023-01-02,DL,2244,N329NB,MSP,-8
2023-01-02,DL,2623,N365NB,DTW,-10
2023-01-02,DL,2675,N331NB,MSP,-4
2023-01-02,DL,2875,N359NB,DTW,-1
2023-01-02,DL,2885,N361NW,DTW,231
2023-01-02,DL,2995,N365NB,DTW,1
2024-01-02,DL,380,N357NW,ATL,70
2024-01-02,DL,392,N718TW,LAX,2
2024-01-02,DL,410,N375NC,ATL,40
2024-01-02,DL,455,N369NW,ATL,-5
2024-01-02,DL,467,N359NB,MSP,-3
2024-01-02,DL,553,N546DN,SLC,-2
2024-01-02,DL,654,N326US,ATL,-6
2024-01-02,DL,737,N319US,ATL,-5
2024-01-02,DL,759,N373NW,ATL,-1
2024-01-02,DL,959,N362NW,ATL,-3
2024-01-02,DL,1085,N326NB,DTW,-7
2024-01-02,DL,1165,N359NB,MSP,-6
2024-01-02,DL,1201,N325US,ATL,-8
2024-01-02,DL,1435,N328NB,DTW,-6
2024-01-02,DL,1608,N374NW,ATL,-6
2024-01-02,DL,1740,N341NW,MSP,-8
2024-01-02,DL,2280,N357NB,MSP,-1
2024-01-02,DL,2309,N336NW,MIA,-4
2024-01-02,DL,2475,N329NB,DTW,-3
2024-01-02,DL,2476,N330NB,DTW,2
2024-01-02,DL,2698,N357NB,MSP,-8
2024-01-02,DL,2953,N323US,MCO,-4
2020-01-03,DL,474,N317DN,ATL,-7
2020-01-03,DL,832,N679DA,SLC,-2
2020-01-03,DL,839,N329NW,ATL,-7
2020-01-03,DL,1139,N371DN,ATL,-9
2020-01-03,DL,1144,N995AT,DTW,-8
2020-01-03,DL,1368,N934AT,MSP,0
2020-01-03,DL,1421,N982AT,DTW,-7
2020-01-03,DL,1515,N328NB,MSP,-3
2020-01-03,DL,1589,N351NW,MSP,-7
2020-01-03,DL,1631,N703TW,LAX,-1
2020-01-03,DL,1654,N387DN,ATL,-3
2020-01-03,DL,1764,N948AT,MSP,-7
2020-01-03,DL,1960,N951AT,DTW,-5
2020-01-03,DL,2086,N340NB,JFK,-2
2020-01-03,DL,2238,N349NW,ATL,-7
2020-01-03,DL,2594,N396DN,ATL,-3
2020-01-03,DL,2602,N356DN,ATL,47
2020-01-03,DL,2638,N378NW,ATL,19
2020-01-03,DL,2799,N371DN,ATL,52
2020-01-03,DL,2811,N388DN,ATL,-6
2020-01-03,DL,2945,N968AT,DTW,-6
2021-01-03,DL,317,N688DL,LAX,-4
2021-01-03,DL,416,N336DX,ATL,-7
2021-01-03,DL,432,N367NW,ATL,38
2021-01-03,DL,440,N376NW,ATL,-9
2021-01-03,DL,457,N334NW,ATL,-1
